Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Drama,7,8,Bakshi,Rasika,Vivek,Arvind
Comedy,4,35,Khan,Prateik,Ishita,Siddhant
Drama,7,1,Sircar,Jimmy,Minissha,Yashpal
Action,4,11,Bhaskar,Augustine,Fathima,Byon
Drama,6,17,Ambat,Rati,Gulshan,Atul
Horror,5,59,Siddiqui,Pankaj,Anubhav,Hritu
Comedy,7,6,Shukla,Amitabh,Rishi,Vijay
Comedy,6,26,Kmr,Mast,Aziz,Heena
Drama,7,6,K.,Madhavan,Neetu,Poonam
Drama,7,1,Sen,Shabana,Konkona,Rahul
Drama,5,15,Ranawat,Ronit,Tisca,Shakti
Action,6,1,Shankar,Milind,Danny,Gulshan
Drama,5,8,Sinha,Nigar,Suraiya,Menaka
Drama,4,16,Reddy,Tarun,Gulshan,Vinay
Horror,6,3,Bhatt,Rajniesh,Adah,Anjori
Horror,4,1,Suresh,Sharman,Meera,Vishal
Drama,4,1,Patel,Vicky,Tia,Tarakesh
Horror,4,1,Bhatt,Zareen,Karan,Vikram
Action,7,3,Vinod,Anil,Jackie,Manisha
Thriller,4,20,Zee,Abuzar,Apurva,Vaishnavi
Drama,7,16,Amar,Mumtaz,Bidita,Madhuri
Comedy,5,14,Bhatia,Ravi,Ronak,Kamal
Adventure,6,21,Sharma,Hemant,Sumeet,Sumeet
Action,5,33,Tiwari,Ashutosh,Rocky,Saadhika
Comedy,6,24,Varman,Arjun,Alia,Amrita
Action,6,21,Shankar,Rajinikanth,Akshay,Amy
Thriller,6,8,Tiwari,Rahul,Shivam,Sophia
Drama,7,52,Patwardhan,Nachiket,Sadashiv,Udayan
Crime,7,2,Kukunoor,Naseeruddin,Jackie,Juhi
Comedy,6,35,Bhatt,Karan,Ravi,Kunaal
Drama,5,23,Dholakia,Sameer,Hrishitaa,Anuj
Adventure,4,6,Ghodake,Seema,Meenal,Pooja
Horror,5,14,Sinha,Abhay,Milind,Dinesh
Thriller,4,9,Lakkoju,Ragesh,Iqbal,Ahsaas
Comedy,5,4,Alibhai,Mastan,Akshaye,Kareena
Horror,6,6,Niranjan,Deepak,Mukul,Sakshi
Drama,7,2,Raman,Rajvvir,Imaaduddin,Nishikant
Drama,4,9,Dhar,Marilia,Kyara,Kyara
Drama,7,21,Ilyasi,Srishti,Farida,Supriya
Action,6,36,Johar,Rakesh,Rajesh,Ambika
Action,4,19,Venugopal,Akash,Avinash,Gagan
Drama,6,31,Rangayan,Mouli,Joy,Jayati
Action,5,7,Saigal,Tina,Shoma,Krishan
Documentary,6,10,Madhusree,Vibha,Harish,Om
Drama,6,5,Bhardwaj,Priyanka,Vivaan,Neil
Drama,4,34,Syed,Sharmila,Suresh,Navin
Action,5,5,Kukunoor,Akshay,Ayesha,Javed
Adventure,6,21,Eshwar,Ranji,Kuriakose,Guy
Action,5,9,Raj,Arun,Ajeet,Rohit
Comedy,7,2,D.K.,Raj,Kunal,Boman
Musical,7,1,Krishnamoorthy,Ehan,Edilsy,Tenzing
Crime,4,38,Bhatia,Shawar,Rajkumar,Jai
Drama,7,4,Sen,Kalki,Vikrant,Gulshan
Action,6,5,D.K.,Raj,Sidharth,Jacqueline
Drama,7,17,Damle,Geeta,Jyoti,Gautam
Drama,7,24,Lalit,Trivikram,Rahul,Akansha
Musical,5,1,Kapoor,Rajesh,Akshaye,Aishwarya
Drama,6,16,Jain,Neha,Ganraj,Dipak
Action,4,28,Prasad,Mithun,Jackie,Sneha
Comedy,5,21,Rawal,Ashok,Vimi,Rehman
Drama,5,5,Lucknowi,Iftekhar,Kuldip,Raaj
Action,5,6,Shelly,Sona,Joginder,Neelam
Action,5,28,Sangal,Mithun,Rameshwari,Madan
Drama,6,19,Ahuja,Dolly,Raja,Neena
Drama,6,9,Ojha,Cuckoo,Jeevan,Kuldip
Drama,5,34,Goel,Shatrughan,Vikram,Zaheera
Crime,5,17,Ram,Navin,Leena,Jayshree
Action,6,29,Kumar,Feroz,Mumtaz,Achala
Action,4,13,Shah,Alpana,Aparajita,Asrani
Action,4,42,Bapaiah,Jeetendra,Sridevi,Mandakini
Action,4,22,Rajendra,Avtar,Rajiv,Padmini
Action,4,21,Shah,Dharmendra,Sadashiv,Asrani
Drama,5,7,Malik,Reema,Kuldeep,Harish
Action,5,52,Ghai,Bhaskar,Jeetendra,Anil
Drama,6,6,Pethkar,Dev,Madhu,Khurshid
Comedy,4,30,Kondke,Shakti,Huma,Dada
Drama,4,8,Ali,Masood,Bharat,Rajina
Thriller,6,10,Rege,Jaya,Ramesh,Dharmendra
Action,6,25,V.,Rajendra,Shashi,Rakesh
Comedy,4,8,Ahmad,Nayantara,Shyam,Rashid
Drama,5,52,Joglekar,Ashok,Sunil,Nanda
Action,5,40,Bapaiah,Jackie,Padmini,Nirupa
Action,5,29,Rami,Bhanupriya,Chiranjeevi,Radha
Action,4,23,Shah,Dharmendra,Mohan,Shakti
Action,6,46,Anand,Tanikella,Gulshan,Milind
Action,5,17,Sarja,Jagapathi,Gajala,Vija
Action,5,8,Barot,Ishrat,Vikas,Raj
Action,4,31,Ali,Mithun,Gajendra,Siddharth
Drama,4,10,Shailaj,Jaymala,Shreeram,Romesh
Action,5,26,Subhash,Vinod,Hemant,Archana
Adventure,5,37,Rajendra,Jayanthi,Manjula,Amrish
Romance,4,30,Anand,Krishan,Tanya,Shammi
Drama,6,2,Mehta,Madhuri,Darshan,Raghuvir
Drama,6,14,Naqvi,Feroz,Tanuja,Deven
Action,4,53,S.,Shatrughan,Moushumi,Govinda
Action,5,21,Chakravarty,Tom,Yogeeta,Abhi
Horror,4,47,Ramsay,Vijayendra,Javed,Sripradha
Action,5,29,Salaam,Jeetendra,Saira,Padma
Action,5,21,Mehra,Randhir,Vinod,Rekha
Comedy,6,16,Kaul,Nutan,Shekhar,Jeevan
Action,4,34,Mitra,Mithun,Sonam,Anupam
Action,4,18,Mitra,Sunil,Leena,Farida
Action,7,39,Vishwanathan,Nassar,Nirosha,Aurn
Drama,6,44,Om,Ashok,Sanjeev,Rakesh
Sci-Fi,5,26,Manikpuri,Omkar,Pitobash,Amit
Action,7,2,Krishna,Kamal,Raveena,Manisha
Comedy,4,1,Raghavendra,A.S.,Govinda,Juhi
Action,7,10,Kumar,Rajeev,Aishwarya,Vasan
Action,6,53,S.,Mithun,Bindiya,Arti
Drama,6,37,Tandon,Rishi,Moushumi,Shammi
Drama,6,28,Mehra,Rajendra,Rakhee,Kumkum
Action,5,2,Bhandarkar,Akshay,Shatrughan,Sunil
Action,6,58,Ganguly,Rajesh,Rakhee,Rekha
Drama,4,8,Joglekar,Ashok,Nirupa,Nanda
Drama,5,6,Thakur,Sajjan,Kamini,Dev
Action,6,8,Hussain,Dara,Mumtaz,Kamran
Drama,6,49,Subhash,Shashi,Hema,Danny
Drama,7,30,Anand,Dev,Nimmi,Kalpana
Drama,4,38,Dhawan,Mumtaz,Prasenjit,Madhushree
Music,6,31,Dutta,Agha,Ameeta,Rehman
Drama,5,5,Kohli,Rakesh,Lakshmi,Prema
Drama,6,15,Irshad,Farrukh,Priyanka,Neha
Action,6,1,Dhawan,Govinda,Chunky,Raj
Drama,7,6,Goel,Shekhar,Bharat,Nalini
Crime,7,12,Amrutlal,Amitabh,Akshay,Sushmita
Drama,6,28,Jhalani,Rakhee,Rakesh,Achala
Comedy,6,24,Madhavan,Hema,Parikshit,Jagdeep
Drama,6,15,Nayyar,Joy,Saira,Sanjeev
Drama,5,32,Kumar,Shashi,Hema,Ashok
Drama,5,49,Om,Smita,Anil,Rati
Action,6,27,Roy,Vinod,Rekha,Nadira
Drama,6,39,Kumar,Dharmendra,Supriya,Vijayalaxmi
Romance,5,38,Sangal,Raj,Ranjeeta,Deepak
Action,5,17,Malhotra,Poonam,Raj,Shakti
Drama,6,12,Soorkar,Prashant,Mohan,Sudhir
Action,6,44,Samanta,Mithun,Rozina,Utpal
Drama,6,5,Jha,Amitabh,Saif,Manoj
Romance,6,40,Kashyap,Dev,Madhubala,Talat
